Be Density=1.848, Angle=90.deg
Photon Energy (eV), Atten Length (microns)
30.0000, 0.117142
89.9400, 0.683209
149.880, 5.824975E-02
179.850, 9.328911E-02
329.700, 0.387409
479.550, 1.07069
629.400, 2.31499
779.250, 4.31984
929.100, 7.25601
1078.95, 11.3244
1228.80, 16.6833
1378.65, 23.5059
1528.50, 31.9887
1678.35, 42.5272
1828.20, 55.1741
1978.05, 70.1235
2127.90, 87.8423
2277.75, 108.504
2427.60, 132.224
2577.45, 159.218
2727.30, 189.702
2877.15, 223.890
3027.00, 262.007
3176.85, 305.110
3326.70, 352.767
3476.55, 405.218
3626.40, 462.682
3776.25, 525.382
3926.10, 593.528
4075.95, 667.350
4225.80, 747.856
4375.65, 834.775
4525.50, 928.160
4675.35, 1028.20
4825.20, 1135.08
4975.05, 1248.99
5124.90, 1370.09
5274.75, 1498.98
5424.60, 1636.22
5574.45, 1781.25
5724.30, 1934.17
5874.15, 2095.09
6024.00, 2264.11
6173.85, 2441.32
6323.70, 2626.75
6473.55, 2821.78
6623.40, 3025.22
6773.25, 3237.03
6923.10, 3457.21
7072.95, 3685.65
7222.80, 3922.32
7372.65, 4167.06
7522.50, 4419.76
7672.35, 4680.28
7822.20, 4948.47
7972.05, 5224.07
8121.90, 5507.29
8271.75, 5797.65
8421.60, 6096.59
8571.45, 6402.84
8721.30, 6715.47
8871.15, 7034.20
9021.00, 7358.70
9170.85, 7688.54
9320.70, 8023.43
9470.55, 8362.96
9620.40, 8706.75
9770.25, 9054.38
9920.10, 9405.46
10070.0, 9760.97
10219.8, 10120.9
10369.7, 10483.6
10519.5, 10848.4
10669.4, 11215.0
10819.2, 11583.1
10969.1, 11952.2
11118.9, 12321.9
11268.8, 12691.8
11418.6, 13061.6
11568.5, 13430.8
11718.3, 13799.1
11868.2, 14166.2
12018.0, 14531.6
12167.9, 14895.0
12317.7, 15256.2
12467.6, 15616.1
12617.4, 15974.9
12767.3, 16330.7
12917.1, 16683.0
13067.0, 17031.6
13216.8, 17376.1
13366.7, 17716.5
13516.5, 18052.6
13666.4, 18384.0
13816.2, 18710.6
13966.1, 19032.3
14115.9, 19348.9
14265.8, 19660.3
14415.6, 19966.3
14565.5, 20266.9
14715.3, 20561.9
14865.2, 20851.2
15015.0, 21136.3
15164.9, 21428.3
15314.7, 21715.3
15464.6, 21997.0
15614.4, 22273.5
15764.3, 22544.8
15914.1, 22810.9
16064.0, 23071.7
16213.8, 23327.3
16363.7, 23578.3
16513.5, 23825.1
16663.4, 24066.8
16813.2, 24303.2
16963.1, 24534.3
17112.9, 24760.3
17262.8, 24981.1
17412.6, 25196.9
17562.5, 25407.7
17712.3, 25613.5
17862.2, 25814.4
18012.0, 26010.4
18161.9, 26201.7
18311.7, 26388.2
18461.6, 26570.1
18611.4, 26747.4
18761.3, 26920.2
18911.1, 27088.6
19061.0, 27252.7
19210.8, 27412.4
19360.7, 27568.0
19510.5, 27719.5
19660.4, 27866.9
19810.2, 28010.4
19960.1, 28150.0
20109.9, 28298.6
20259.7, 28448.3
20409.6, 28594.7
20559.5, 28737.6
20709.3, 28877.3
20859.2, 29013.8
21009.0, 29147.2
21158.9, 29277.5
21308.7, 29404.7
21458.6, 29529.0
21608.4, 29650.4
21758.3, 29769.0
21908.1, 29884.8
22058.0, 29998.0
22207.8, 30108.4
22357.7, 30216.3
22507.5, 30321.6
22657.4, 30424.5
22807.2, 30524.9
22957.1, 30622.9
23106.9, 30718.7
23256.7, 30812.2
23406.6, 30903.4
23556.5, 30992.5
23706.3, 31079.6
23856.2, 31164.5
24006.0, 31247.4
24155.9, 31328.4
24305.7, 31407.5
24455.6, 31484.6
24605.4, 31560.0
24755.3, 31633.5
24905.1, 31705.3
25055.0, 31775.4
25204.8, 31843.9
25354.7, 31910.7
25504.5, 31975.9
25654.4, 32039.6
25804.2, 32101.8
25954.1, 32162.5
26103.9, 32221.8
26253.8, 32279.7
26403.6, 32336.2
26553.5, 32391.3
26703.3, 32445.1
26853.2, 32497.7
27003.0, 32549.0
27152.9, 32599.1
27302.7, 32648.0
27452.6, 32695.8
27602.4, 32742.4
27752.3, 32788.0
27902.1, 32832.4
28052.0, 32875.8
28201.8, 32918.2
28351.7, 32959.5
28501.5, 32999.9
28651.4, 33039.4
28801.2, 33077.9
28951.1, 33115.5
29100.9, 33152.1
29250.8, 33188.0
29400.6, 33223.0
29550.5, 33257.1
29700.3, 33290.5
29850.2, 33323.0
30000.0, 33354.8
