Energy (eV), E^2 N(E) (erg/cm^2/s)
4.395e+2, 2.118e-4
7.580e+2, 4.374e-4
1.216e+3, 8.369e-4
1.813e+3, 1.483e-3
2.704e+3, 2.732e-3
4.032e+3, 4.843e-3
6.236e+3, 9.265e-3
8.041e+3, 1.465e-2
1.080e+4, 2.153e-2
1.347e+4, 2.889e-2
1.660e+4, 3.926e-2
2.023e+4, 5.097e-2
2.436e+4, 6.567e-2
2.968e+4, 8.655e-2
3.616e+4, 1.134e-1
4.405e+4, 1.457e-1
5.367e+4, 1.905e-1
6.616e+4, 2.487e-1
8.250e+4, 3.265e-1
1.041e+5, 4.221e-1
1.344e+5, 5.417e-1
1.735e+5, 6.793e-1
2.241e+5, 8.249e-1
2.894e+5, 9.497e-1
3.736e+5, 1.032e+0
4.825e+5, 1.026e+0
6.230e+5, 9.434e-1
8.045e+5, 8.749e-1
1.039e+6, 7.970e-1
1.341e+6, 7.277e-1
1.732e+6, 6.441e-1
2.236e+6, 5.861e-1
2.888e+6, 5.375e-1
3.729e+6, 4.919e-1
4.815e+6, 4.476e-1
6.218e+6, 3.993e-1
8.029e+6, 3.641e-1
1.037e+7, 3.347e-1
1.339e+7, 3.066e-1
1.729e+7, 2.702e-1
2.232e+7, 2.456e-1
2.882e+7, 2.267e-1
3.722e+7, 2.082e-1
4.805e+7, 1.882e-1
6.205e+7, 1.667e-1
8.012e+7, 1.531e-1
1.035e+8, 1.401e-1
1.336e+8, 1.285e-1
1.725e+8, 1.145e-1
2.228e+8, 1.039e-1
2.876e+8, 9.543e-2
3.714e+8, 8.722e-2
4.796e+8, 7.867e-2
6.193e+8, 6.971e-2
7.996e+8, 6.429e-2
9.519e+8, 6.150e-2
